Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2005121397614,2005-12-08 00:00:00,2005-11-20 00:00:00,LNK,Lincoln Municipal,Northwest Airlines,Passenger Property Loss,Checked Baggage,Locks,15.0,Approved,15.0,Approve in Full,18.0,0.0
2005061786574,2005-06-07 00:00:00,2004-12-26 00:00:00,JAN,Jackson International,Southwest Airlines,Property Damage,Checkpoint,Other,22.0,Approved,22.0,Approve in Full,163.0,0.0
2007100132805,2007-09-27 00:00:00,2007-08-30 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,40.0,Denied,0.0,Deny,28.0,40.0
2009071061030,2009-07-01 00:00:00,2009-06-30 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),230.0,Denied,0.0,Deny,1.0,230.0
2008040141689,2008-03-25 00:00:00,2008-03-20 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,399.99,Denied,0.0,Deny,5.0,399.99
2005030777103,2005-02-01 00:00:00,2005-01-10 00:00:00,HOU,William P. Hobby,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,7.99,Approved,7.99,Approve in Full,22.0,0.0
2007102433848,2007-10-18 00:00:00,2007-09-29 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,740.0,Settled,370.0,Settle,19.0,370.0
2008080848258,2008-08-05 00:00:00,2008-07-31 00:00:00,LAS,McCarran International,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,310.0,Denied,0.0,Deny,5.0,310.0
2009091463624,2009-09-14 00:00:00,2009-08-16 00:00:00,PWM,Portland International Jetport,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,314.99,Settled,195.0,Settle,29.0,119.99000000000001
2007010318217,2006-12-27 00:00:00,2006-09-06 00:00:00,BOI,Boise Air Terminal/Gowen Field,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,24.5,Denied,0.0,Deny,112.0,24.5
0821155M,2003-08-21 00:00:00,2003-08-12 00:00:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Property Damage,Checked Baggage,Eyeglasses - (including contact lenses),100.0,Settled,50.0,Settle,9.0,50.0
2005050383925,2005-05-02 00:00:00,2004-12-01 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,88.47,Approved,88.47,Approve in Full,152.0,0.0
2008081248453,2008-08-06 00:00:00,2008-06-04 00:00:00,TLH,Tallahassee Regional,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,6.28,Denied,0.0,Deny,63.0,6.28
2008091549871,2008-12-11 00:00:00,2008-09-08 00:00:00,JFK,John F. Kennedy International,Aer Lingus,Property Damage,Checked Baggage,Bicycles,100.0,Settled,97.03,Settle,94.0,2.969999999999999
2004061055382,2004-05-27 00:00:00,2004-04-26 00:00:00,MSY,New Orleans International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,400.0,Denied,0.0,Deny,31.0,400.0
2005102595114,2005-10-18 00:00:00,2005-09-18 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),233.19,Approved,233.19,Approve in Full,30.0,0.0
2007101033224,2007-10-03 00:00:00,2007-10-01 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,600.0,Denied,0.0,Deny,2.0,600.0
0214016L,2003-02-14 00:00:00,2003-01-14 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),216.49,Approved,180.0,Approve in Full,31.0,36.49000000000001
2004060955197,2004-05-13 00:00:00,2004-04-29 00:00:00,DCA,Ronald Reagan Washington National Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,120.0,Denied,0.0,Deny,14.0,120.0
2006061407967,2006-06-13 00:00:00,2006-06-05 00:00:00,MEM,Memphis International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Lighters - (cigar; cigerette; etc.),22.35,Approved,22.35,Approve in Full,8.0,0.0
2004100664696,2004-08-24 00:00:00,2004-07-25 00:00:00,SEA,Seattle-Tacoma International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),425.0,Denied,0.0,Deny,30.0,425.0
0520225L,2003-05-20 00:00:00,2003-04-27 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines,Property Damage,Checked Baggage,Locks,20.09,Denied,0.0,Deny,23.0,20.09
2007101833609,2007-10-15 00:00:00,2007-08-08 00:00:00,MSY,New Orleans International,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,27.2,Denied,0.0,Deny,68.0,27.2
2008063046359,2008-06-25 00:00:00,2008-05-28 00:00:00,MIA,Miami International Airport,Continental Airlines,Property Damage,Checked Baggage,Dental Equipment and Instruments,420.0,Denied,0.0,Deny,28.0,420.0
2008073147849,2008-07-25 00:00:00,2008-06-08 00:00:00,DFW,Dallas-Fort Worth International Airport,American Central,Passenger Property Loss,Checked Baggage,Locks,14.92,Denied,0.0,Deny,47.0,14.92
2006012600462,2006-01-23 00:00:00,2005-12-21 00:00:00,CMH,Port Columbus International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,133.44,Denied,0.0,Deny,33.0,133.44
2005031678479,2005-02-16 00:00:00,2005-02-08 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,DVD/CD Players,316.94,Settled,141.2,Settle,8.0,175.74
2009083163186,2009-08-31 00:00:00,2009-08-22 00:00:00,GST,Gustavus,Alaska Airlines,Property Damage,Checked Baggage,Other,100.0,Denied,0.0,Deny,9.0,100.0
2005070688313,2005-07-05 00:00:00,2005-06-23 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Other,10.55,Approved,10.55,Approve in Full,12.0,0.0
2005040481406,2005-03-30 00:00:00,2005-03-22 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,300.0,Approved,300.0,Approve in Full,8.0,0.0
2008010337163,2008-04-07 00:00:00,2007-11-27 00:00:00,MIA,Miami International Airport,Alitalia,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,495.0,Denied,0.0,Deny,132.0,495.0
2005032179040,2005-02-24 00:00:00,2005-01-28 00:00:00,LGB,Long Beach,Alaska Airlines,Property Damage,Checkpoint,Jewelry - Fine,850.15,Approved,850.15,Approve in Full,27.0,0.0
2008041742712,2008-04-08 00:00:00,2008-02-26 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,6.88,Denied,0.0,Deny,42.0,6.88
2006022302059,2006-02-16 00:00:00,2005-06-25 00:00:00,DAY,James M. Cox Dayton International,Air Tran Airlines(do not use),Passenger Property Loss,Checkpoint,Cameras - Digital,500.0,Denied,0.0,Deny,236.0,500.0
2005061086173,2005-06-01 00:00:00,2005-04-16 00:00:00,SJU,Luis Munoz Marin International,American Airlines,Passenger Property Loss,Checked Baggage,Other,246.21,Approved,246.21,Approve in Full,46.0,0.0
2006122217727,2006-12-18 00:00:00,2006-12-08 00:00:00,LAS,McCarran International,Allegiant Air,Property Damage,Checked Baggage,Luggage (all types including footlockers),19.99,Denied,0.0,Deny,10.0,19.99
2006102414462,2006-10-11 00:00:00,2006-09-28 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,17.0,Denied,0.0,Deny,13.0,17.0
2004111867315,2004-10-04 00:00:00,2004-09-10 00:00:00,EYW,Key West International Airport,American Eagle,Property Damage,Checked Baggage,Eyeglasses - (including contact lenses),267.68,Settled,178.34,Settle,24.0,89.34
